age,gender,height,weight,bmi,goal,activity_level,experience_level,workout_type,diet_type
29,male,1.74,63,20.81,fat_loss,high,advanced,hiit,low_carb
39,male,1.83,80,23.89,fat_loss,low,advanced,hiit,low_carb
36,female,1.64,52,19.33,fat_loss,medium,beginner,hiit,low_carb
27,female,1.83,72,21.5,fat_loss,low,beginner,hiit,low_carb
50,female,1.65,52,19.1,maintenance,high,beginner,yoga,balanced
23,male,1.72,74,25.01,fat_loss,medium,advanced,cardio,calorie_deficit
18,male,1.82,89,26.87,fat_loss,medium,intermediate,cardio,calorie_deficit
35,female,1.63,75,28.23,maintenance,medium,beginner,yoga,balanced
31,female,1.61,81,31.25,muscle_gain,low,beginner,strength_training,balanced
38,male,1.52,84,36.36,muscle_gain,low,intermediate,strength_training,balanced
31,male,1.61,51,19.68,fat_loss,high,advanced,hiit,low_carb
44,male,1.75,84,27.43,fat_loss,medium,intermediate,cardio,calorie_deficit
39,female,1.8,93,28.7,maintenance,high,beginner,yoga,balanced
20,male,1.87,64,18.3,muscle_gain,high,intermediate,weight_training,high_protein
33,female,1.59,77,30.46,fat_loss,medium,advanced,cardio,calorie_deficit
41,female,1.72,99,33.46,muscle_gain,high,beginner,strength_training,balanced
25,female,1.75,65,21.22,maintenance,high,intermediate,yoga,balanced
25,female,1.75,97,31.67,muscle_gain,low,advanced,strength_training,balanced
31,female,1.58,84,33.65,maintenance,low,beginner,yoga,balanced
22,male,1.68,67,23.74,muscle_gain,high,advanced,strength_training,balanced
32,male,1.75,52,16.98,maintenance,low,intermediate,yoga,balanced
42,female,1.82,66,19.93,muscle_gain,high,beginner,weight_training,high_protein
47,female,1.62,94,35.82,maintenance,medium,intermediate,yoga,balanced
18,female,1.57,58,23.53,maintenance,low,beginner,yoga,balanced
49,female,1.52,60,25.97,muscle_gain,low,beginner,strength_training,balanced
33,male,1.83,70,20.9,muscle_gain,high,advanced,weight_training,high_protein
43,female,1.65,97,35.63,maintenance,medium,advanced,yoga,balanced
41,female,1.78,96,30.3,maintenance,high,intermediate,yoga,balanced
31,male,1.58,98,39.26,maintenance,high,advanced,yoga,balanced
46,female,1.77,67,21.39,fat_loss,medium,intermediate,hiit,low_carb
23,female,1.83,89,26.58,muscle_gain,high,intermediate,strength_training,balanced
28,male,1.58,94,37.65,fat_loss,medium,advanced,cardio,calorie_deficit
46,male,1.72,89,30.08,muscle_gain,high,intermediate,strength_training,balanced
31,female,1.65,68,24.98,muscle_gain,low,intermediate,strength_training,balanced
22,female,1.53,83,35.46,muscle_gain,medium,intermediate,strength_training,balanced
33,male,1.69,89,31.16,muscle_gain,high,intermediate,strength_training,balanced
22,male,1.8,71,21.91,fat_loss,medium,beginner,hiit,low_carb
45,female,1.67,66,23.67,fat_loss,low,advanced,hiit,low_carb
47,male,1.57,72,29.21,fat_loss,high,intermediate,cardio,calorie_deficit
23,female,1.85,50,14.61,muscle_gain,medium,intermediate,weight_training,high_protein
21,male,1.71,78,26.67,maintenance,medium,beginner,yoga,balanced
26,female,1.87,83,23.74,maintenance,medium,beginner,yoga,balanced
25,female,1.68,92,32.6,fat_loss,low,beginner,cardio,calorie_deficit
43,male,1.59,85,33.62,muscle_gain,medium,intermediate,strength_training,balanced
48,male,1.9,74,20.5,fat_loss,high,intermediate,hiit,low_carb
20,male,1.81,74,22.59,fat_loss,high,beginner,hiit,low_carb
38,male,1.74,56,18.5,fat_loss,high,advanced,hiit,low_carb
24,female,1.75,100,32.65,fat_loss,low,beginner,cardio,calorie_deficit
23,male,1.69,96,33.61,maintenance,high,advanced,yoga,balanced
18,female,1.66,87,31.57,fat_loss,high,intermediate,cardio,calorie_deficit
34,male,1.53,96,41.01,maintenance,medium,advanced,yoga,balanced
28,female,1.78,96,30.3,fat_loss,low,advanced,cardio,calorie_deficit
31,male,1.51,82,35.96,maintenance,high,intermediate,yoga,balanced
40,female,1.76,89,28.73,muscle_gain,high,beginner,strength_training,balanced
41,female,1.83,63,18.81,maintenance,low,advanced,yoga,balanced
27,female,1.76,97,31.31,fat_loss,medium,beginner,cardio,calorie_deficit
44,female,1.64,94,34.95,fat_loss,high,intermediate,cardio,calorie_deficit
45,female,1.55,71,29.55,fat_loss,high,beginner,cardio,calorie_deficit
49,male,1.86,92,26.59,fat_loss,medium,advanced,cardio,calorie_deficit
45,male,1.75,80,26.12,fat_loss,low,beginner,cardio,calorie_deficit
43,male,1.68,68,24.09,muscle_gain,medium,beginner,strength_training,balanced
36,female,1.59,85,33.62,maintenance,medium,advanced,yoga,balanced
39,male,1.55,62,25.81,muscle_gain,medium,intermediate,strength_training,balanced
28,male,1.79,89,27.78,maintenance,low,advanced,yoga,balanced
40,male,1.88,64,18.11,muscle_gain,high,intermediate,weight_training,high_protein
36,male,1.57,73,29.62,fat_loss,low,intermediate,cardio,calorie_deficit
27,male,1.74,96,31.71,fat_loss,high,beginner,cardio,calorie_deficit
45,male,1.69,69,24.16,maintenance,high,intermediate,yoga,balanced
20,female,1.86,73,21.1,maintenance,low,beginner,yoga,balanced
39,male,1.51,92,40.35,fat_loss,medium,advanced,cardio,calorie_deficit
30,male,1.79,61,19.04,fat_loss,low,intermediate,hiit,low_carb
31,female,1.64,52,19.33,fat_loss,high,beginner,hiit,low_carb
33,female,1.6,51,19.92,maintenance,low,advanced,yoga,balanced
29,male,1.74,68,22.46,muscle_gain,high,beginner,strength_training,balanced
50,female,1.75,61,19.92,maintenance,medium,advanced,yoga,balanced
49,female,1.84,92,27.17,muscle_gain,high,beginner,strength_training,balanced
28,female,1.55,62,25.81,maintenance,low,intermediate,yoga,balanced
23,male,1.87,63,18.02,fat_loss,medium,beginner,hiit,low_carb
22,female,1.66,71,25.77,maintenance,high,intermediate,yoga,balanced
45,male,1.79,81,25.28,muscle_gain,low,advanced,strength_training,balanced
25,female,1.64,64,23.8,fat_loss,medium,beginner,hiit,low_carb
34,male,1.69,73,25.56,maintenance,medium,intermediate,yoga,balanced
33,male,1.77,69,22.02,maintenance,high,intermediate,yoga,balanced
46,male,1.69,98,34.31,maintenance,medium,beginner,yoga,balanced
49,male,1.66,83,30.12,muscle_gain,high,advanced,strength_training,balanced
20,male,1.77,71,22.66,muscle_gain,high,intermediate,strength_training,balanced
23,male,1.72,100,33.8,maintenance,low,intermediate,yoga,balanced
23,female,1.64,68,25.28,maintenance,medium,beginner,yoga,balanced
22,male,1.87,80,22.88,maintenance,low,intermediate,yoga,balanced
48,female,1.6,95,37.11,fat_loss,high,intermediate,cardio,calorie_deficit
45,male,1.79,89,27.78,maintenance,low,beginner,yoga,balanced
33,male,1.86,87,25.15,maintenance,low,advanced,yoga,balanced
49,male,1.79,96,29.96,muscle_gain,high,beginner,strength_training,balanced
41,female,1.69,73,25.56,maintenance,high,beginner,yoga,balanced
28,male,1.79,97,30.27,maintenance,medium,intermediate,yoga,balanced
30,female,1.8,94,29.01,muscle_gain,low,beginner,strength_training,balanced
33,female,1.84,54,15.95,fat_loss,low,beginner,hiit,low_carb
43,female,1.51,62,27.19,maintenance,high,beginner,yoga,balanced
21,female,1.62,62,23.62,muscle_gain,low,intermediate,strength_training,balanced
50,female,1.59,52,20.57,maintenance,medium,beginner,yoga,balanced
21,female,1.5,75,33.33,fat_loss,low,intermediate,cardio,calorie_deficit
18,male,1.63,93,35.0,muscle_gain,medium,advanced,strength_training,balanced
29,male,1.59,99,39.16,fat_loss,low,intermediate,cardio,calorie_deficit
19,female,1.82,56,16.91,maintenance,medium,beginner,yoga,balanced
35,female,1.73,75,25.06,maintenance,medium,beginner,yoga,balanced
35,female,1.57,78,31.64,muscle_gain,medium,intermediate,strength_training,balanced
24,male,1.79,60,18.73,maintenance,medium,advanced,yoga,balanced
18,male,1.8,95,29.32,muscle_gain,high,advanced,strength_training,balanced
41,female,1.9,90,24.93,maintenance,high,advanced,yoga,balanced
31,male,1.71,85,29.07,fat_loss,low,beginner,cardio,calorie_deficit
32,female,1.61,59,22.76,muscle_gain,medium,intermediate,strength_training,balanced
19,male,1.71,89,30.44,maintenance,medium,beginner,yoga,balanced
49,female,1.76,74,23.89,muscle_gain,low,advanced,strength_training,balanced
29,female,1.87,69,19.73,muscle_gain,high,advanced,weight_training,high_protein
28,male,1.65,62,22.77,fat_loss,medium,intermediate,hiit,low_carb
48,female,1.85,77,22.5,maintenance,low,advanced,yoga,balanced
18,female,1.63,91,34.25,maintenance,high,beginner,yoga,balanced
50,male,1.52,73,31.6,fat_loss,medium,beginner,cardio,calorie_deficit
46,female,1.61,75,28.93,maintenance,low,beginner,yoga,balanced
41,male,1.7,83,28.72,maintenance,low,intermediate,yoga,balanced
32,female,1.72,83,28.06,muscle_gain,low,intermediate,strength_training,balanced
26,female,1.74,81,26.75,maintenance,high,beginner,yoga,balanced
46,female,1.53,54,23.07,fat_loss,high,intermediate,hiit,low_carb
20,female,1.68,61,21.61,fat_loss,medium,intermediate,hiit,low_carb
21,male,1.55,90,37.46,maintenance,high,beginner,yoga,balanced
31,female,1.73,97,32.41,muscle_gain,medium,beginner,strength_training,balanced
27,female,1.67,99,35.5,fat_loss,medium,intermediate,cardio,calorie_deficit
43,male,1.77,94,30.0,maintenance,low,intermediate,yoga,balanced
50,male,1.59,53,20.96,maintenance,high,beginner,yoga,balanced
39,female,1.7,85,29.41,fat_loss,medium,advanced,cardio,calorie_deficit
26,male,1.68,82,29.05,muscle_gain,high,advanced,strength_training,balanced
39,male,1.65,62,22.77,maintenance,medium,beginner,yoga,balanced
19,male,1.75,74,24.16,muscle_gain,medium,intermediate,strength_training,balanced
47,male,1.59,76,30.06,fat_loss,high,intermediate,cardio,calorie_deficit
38,female,1.78,50,15.78,muscle_gain,low,advanced,weight_training,high_protein
45,female,1.51,94,41.23,fat_loss,medium,advanced,cardio,calorie_deficit
26,male,1.79,59,18.41,muscle_gain,medium,advanced,weight_training,high_protein
34,male,1.67,98,35.14,fat_loss,medium,intermediate,cardio,calorie_deficit
28,female,1.54,55,23.19,maintenance,medium,advanced,yoga,balanced
37,male,1.65,74,27.18,fat_loss,high,advanced,cardio,calorie_deficit
43,female,1.74,82,27.08,maintenance,high,beginner,yoga,balanced
38,female,1.79,57,17.79,maintenance,low,beginner,yoga,balanced
50,male,1.66,97,35.2,maintenance,low,advanced,yoga,balanced
22,male,1.79,97,30.27,muscle_gain,low,advanced,strength_training,balanced
41,female,1.57,97,39.35,fat_loss,low,advanced,cardio,calorie_deficit
29,female,1.63,64,24.09,maintenance,high,advanced,yoga,balanced
47,female,1.66,68,24.68,fat_loss,low,intermediate,hiit,low_carb
33,male,1.64,61,22.68,muscle_gain,medium,advanced,strength_training,balanced
23,female,1.75,95,31.02,muscle_gain,medium,advanced,strength_training,balanced
21,male,1.77,89,28.41,muscle_gain,high,beginner,strength_training,balanced
35,female,1.78,85,26.83,maintenance,high,intermediate,yoga,balanced
45,female,1.9,79,21.88,fat_loss,medium,intermediate,hiit,low_carb
40,male,1.8,76,23.46,maintenance,medium,advanced,yoga,balanced
41,female,1.83,80,23.89,muscle_gain,high,advanced,strength_training,balanced
22,male,1.71,73,24.96,muscle_gain,low,advanced,strength_training,balanced
37,female,1.56,74,30.41,maintenance,medium,intermediate,yoga,balanced
27,male,1.76,61,19.69,fat_loss,medium,beginner,hiit,low_carb
47,female,1.81,92,28.08,maintenance,low,advanced,yoga,balanced
27,male,1.74,62,20.48,muscle_gain,medium,advanced,weight_training,high_protein
37,male,1.62,57,21.72,muscle_gain,low,intermediate,weight_training,high_protein
40,female,1.73,92,30.74,muscle_gain,medium,beginner,strength_training,balanced
47,female,1.64,100,37.18,fat_loss,high,intermediate,cardio,calorie_deficit
34,female,1.73,88,29.4,muscle_gain,medium,advanced,strength_training,balanced
34,male,1.74,50,16.51,muscle_gain,low,advanced,weight_training,high_protein
23,male,1.5,77,34.22,fat_loss,medium,intermediate,cardio,calorie_deficit
28,female,1.64,60,22.31,maintenance,low,beginner,yoga,balanced
37,female,1.67,70,25.1,muscle_gain,low,intermediate,strength_training,balanced
44,female,1.86,78,22.55,fat_loss,medium,beginner,hiit,low_carb
39,female,1.75,95,31.02,muscle_gain,high,beginner,strength_training,balanced
37,female,1.88,58,16.41,maintenance,medium,intermediate,yoga,balanced
26,female,1.54,65,27.41,maintenance,medium,beginner,yoga,balanced
45,male,1.74,67,22.13,fat_loss,medium,advanced,hiit,low_carb
36,female,1.82,71,21.43,fat_loss,high,intermediate,hiit,low_carb
50,female,1.7,69,23.88,maintenance,medium,beginner,yoga,balanced
37,male,1.73,54,18.04,muscle_gain,low,advanced,weight_training,high_protein
42,female,1.76,60,19.37,fat_loss,medium,advanced,hiit,low_carb
19,male,1.58,70,28.04,muscle_gain,low,intermediate,strength_training,balanced
18,male,1.84,93,27.47,fat_loss,low,intermediate,cardio,calorie_deficit
22,male,1.82,61,18.42,fat_loss,high,intermediate,hiit,low_carb
29,male,1.87,84,24.02,fat_loss,high,intermediate,hiit,low_carb
29,female,1.65,96,35.26,maintenance,low,intermediate,yoga,balanced
32,male,1.7,70,24.22,fat_loss,high,beginner,hiit,low_carb
44,male,1.73,98,32.74,maintenance,high,intermediate,yoga,balanced
31,male,1.56,77,31.64,maintenance,high,intermediate,yoga,balanced
26,female,1.68,92,32.6,fat_loss,medium,beginner,cardio,calorie_deficit
34,male,1.89,96,26.87,muscle_gain,medium,advanced,strength_training,balanced
31,male,1.88,56,15.84,maintenance,low,advanced,yoga,balanced
30,female,1.77,73,23.3,muscle_gain,low,beginner,strength_training,balanced
29,female,1.54,99,41.74,fat_loss,medium,intermediate,cardio,calorie_deficit
27,male,1.82,52,15.7,muscle_gain,high,intermediate,weight_training,high_protein
43,male,1.54,68,28.67,maintenance,high,beginner,yoga,balanced
31,female,1.81,83,25.34,fat_loss,low,advanced,cardio,calorie_deficit
40,male,1.82,67,20.23,fat_loss,high,intermediate,hiit,low_carb
31,female,1.76,65,20.98,muscle_gain,low,beginner,weight_training,high_protein
28,female,1.86,67,19.37,fat_loss,medium,beginner,hiit,low_carb
22,male,1.82,59,17.81,muscle_gain,low,intermediate,weight_training,high_protein
21,male,1.72,86,29.07,muscle_gain,medium,intermediate,strength_training,balanced
